bot_0,bot_0_payoff,bot_0_role,bot_1,bot_1_payoff,bot_1_role,bot_2,bot_2_payoff,bot_2_role,bot_3,bot_3_payoff,bot_3_role,bot_4,bot_4_payoff,bot_4_role,win_type,winner
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,DeepBayes,1.0,servant,DeepBayes,-1.5,assassin,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,DeepBayes,1.5,assassin,assassin picked,evil
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,merlin,DeepBayes,1.5,minion,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,servant,DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,Too many bad fails,evil
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,-1.0,servant,DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,1.5,minion,DeepBayes,-1.0,servant,assassin picked,evil
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,-1.5,minion,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,-1.0,servant,DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,Too many bad fails,evil
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,-1.0,servant,DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,Too many bad fails,evil
DeepBayes,-1.0,servant,DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,Too many bad fails,evil
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,DeepBayes,-1.5,minion,assassin failed,good
DeepBayes,-1.0,servant,DeepBayes,-1.0,merlin,DeepBayes,1.5,assassin,DeepBayes,-1.0,servant,DeepBayes,1.5,minion,assassin picked,evil
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
DeepBayes,1.0,servant,DeepBayes,1.0,merlin,DeepBayes,-1.5,minion,DeepBayes,-1.5,assassin,DeepBayes,1.0,servant,assassin failed,good
